product,quality,season,state,quantity,market_distance,organic_certified,price_per_quintal
onion,low,kharif,haryana,84.64265579,4.654387147,0,1500.71
sugarcane,medium,rabi,punjab,63.26534183,175.4944027,0,327.37
tur,medium,rabi,maharashtra,57.28350809,115.1849151,0,5290.29
wheat,high,zaid,rajasthan,56.62480252,47.71937196,0,1995.57
cotton,low,kharif,maharashtra,53.89841988,99.31223814,0,5101.06
cotton,low,rabi,maharashtra,84.86717127,70.98103809,1,5930.75
sugarcane,high,kharif,karnataka,9.245156708,18.34082945,0,343.18
soybean,low,zaid,maharashtra,12.2329956,186.1858211,1,4003.26
jowar,low,zaid,karnataka,55.04566125,141.1662968,1,2713.99
jowar,low,rabi,rajasthan,9.326573805,140.1938263,0,2473.29
jowar,medium,rabi,haryana,9.398933694,197.3279157,0,3026.54
sugarcane,low,zaid,karnataka,98.61410532,150.6756371,0,186.85
tomato,high,zaid,punjab,90.72908412,22.23949646,0,2695.11
jowar,low,zaid,maharashtra,74.67695404,136.2078854,0,2003.29
wheat,low,rabi,rajasthan,44.19724733,160.4218498,1,1993.7
soybean,medium,rabi,up,91.99245581,50.5980336,0,3524.84
tur,low,kharif,karnataka,45.99956541,125.511616,0,6216.3
tur,high,kharif,rajasthan,46.11001853,124.0265196,0,6795.36
jowar,medium,kharif,mp,8.69572906,194.8789615,1,3509.9
wheat,low,rabi,haryana,81.56570695,136.9462345,0,2053.94
tomato,medium,zaid,haryana,61.7281044,83.64860726,1,3307.66
soybean,high,rabi,rajasthan,81.24477975,197.4552259,0,3581.42
tur,medium,zaid,up,57.33906545,12.70236592,0,5182.92
soybean,high,kharif,mp,81.4771999,199.9435347,1,5642.32
soybean,low,rabi,punjab,85.11509168,49.46962035,0,3561.35
cotton,low,rabi,mp,23.63563774,134.3401369,0,3829.78
chana,high,kharif,punjab,52.51046239,154.4636783,0,5477.4
tomato,low,kharif,rajasthan,79.38996611,117.9911794,0,1314.1
soybean,low,kharif,punjab,80.69942208,180.6302117,0,4266.58
rice,medium,kharif,rajasthan,55.92674525,18.20041821,0,2936.08
wheat,high,kharif,karnataka,52.83662533,139.5283743,0,1938.51
wheat,medium,rabi,mp,7.557361807,9.172253281,0,2130.21
cotton,high,rabi,karnataka,13.67653806,30.3805387,0,6333.38
chana,low,zaid,up,52.00836943,194.6220699,0,2966.31
soybean,low,kharif,mp,35.41430223,6.360936297,0,3967.66
jowar,medium,kharif,maharashtra,50.83830981,138.0789657,0,3069.48
tur,medium,zaid,rajasthan,16.54079059,75.45719305,0,5278.49
chana,low,zaid,haryana,98.63944259,107.3181292,1,4897.51
onion,medium,kharif,haryana,7.171794889,29.54781838,0,1867.29
onion,medium,zaid,karnataka,4.016743121,173.4429962,0,1370.5
tur,high,rabi,mp,2.98704858,64.41583312,0,6442.23
tur,low,rabi,mp,47.9230242,71.02086066,0,4876.99
sugarcane,high,kharif,punjab,56.21648433,117.3070869,0,346.05
soybean,medium,kharif,punjab,25.19096239,99.64953957,0,5468.53
soybean,medium,rabi,rajasthan,37.17032515,97.56196016,1,4100.07
chana,high,rabi,karnataka,6.11191231,3.648496286,0,7263.45
tomato,medium,zaid,mp,1.524700633,195.0134326,0,1864.72
tur,medium,zaid,up,57.58965626,55.99581873,0,5012.53
tomato,high,rabi,mp,24.99856351,22.96736495,0,2613.61
soybean,medium,zaid,karnataka,48.63287008,106.5178865,0,3465.35
jowar,low,zaid,punjab,99.00606301,64.47076899,0,2420.98
soybean,low,rabi,maharashtra,59.96823532,94.31523771,0,3090.77
wheat,low,kharif,mp,96.53766416,24.8594447,0,1726.62
cotton,high,rabi,rajasthan,5.761369752,156.3028964,0,5230.43
cotton,low,rabi,haryana,24.33348286,126.7517127,1,5808.8
jowar,low,kharif,karnataka,71.66446303,179.9334891,0,2337.14
wheat,low,rabi,maharashtra,39.75672891,106.3714959,0,1659.55
onion,high,kharif,rajasthan,33.94876281,146.1098274,0,1396.34
wheat,medium,zaid,up,79.07112391,30.33497595,0,1705.67
onion,low,kharif,mp,57.4190788,152.4917371,1,1441.78
tomato,low,zaid,karnataka,84.79877688,25.49773247,0,2006.93
soybean,low,zaid,mp,72.50300427,144.0073073,0,2938.62
sugarcane,medium,zaid,up,35.22390336,36.31954336,1,355.99
chana,high,zaid,punjab,94.78105062,30.67028062,0,6006.54
tur,low,zaid,mp,59.70332762,20.44253285,1,6354.54
soybean,high,kharif,maharashtra,58.05254766,121.3430093,0,5143.04
chana,low,kharif,up,45.63309777,22.64760917,1,5171.39
tomato,high,rabi,maharashtra,87.11973984,103.7676114,0,2554.92
tur,low,rabi,punjab,80.48249141,0.926404601,0,6180.31
tur,medium,zaid,rajasthan,35.28825344,69.39064038,0,4901.32
cotton,medium,rabi,karnataka,17.38581843,6.775832049,0,5794.57
tomato,medium,kharif,haryana,52.00219456,195.1082631,0,1765.27
tomato,high,rabi,maharashtra,30.65999526,61.98738525,0,2689.19
chana,high,kharif,rajasthan,19.87808435,7.30993357,0,4868.34
rice,low,kharif,up,45.87559464,104.8780539,0,2353.3
tomato,high,zaid,mp,19.01088492,172.3571242,1,2674.37
jowar,high,kharif,punjab,41.46468294,5.077271132,0,4612
chana,low,rabi,karnataka,26.13496784,39.22261994,0,4798.18
tur,high,rabi,up,88.85858777,111.344317,0,6864.85
chana,medium,kharif,up,96.30228254,188.8819451,0,3569.34
onion,medium,zaid,punjab,9.465344555,41.57725103,0,1764.66
sugarcane,low,kharif,punjab,91.15177635,124.9522542,0,276.75
cotton,high,zaid,mp,83.23479615,69.03842898,0,5453.66
soybean,high,kharif,rajasthan,78.1961187,22.84758518,0,5512.14
onion,low,kharif,up,51.73330793,148.3373888,0,1151.93
tur,medium,kharif,up,42.74868952,26.45524223,1,10070.05
soybean,high,kharif,punjab,53.43650619,163.0108857,0,4913.94
soybean,low,kharif,punjab,72.30005558,21.31574603,0,4429.64
tomato,high,kharif,mp,63.67670827,98.85477003,0,2056.3
soybean,medium,kharif,rajasthan,5.649630711,33.25667375,0,3961.83
sugarcane,high,kharif,haryana,39.54026579,57.73874735,0,384.85
onion,high,kharif,punjab,40.26828793,190.8173873,0,1766.4
jowar,high,zaid,up,84.31143637,169.2815699,1,3154.35
tur,medium,kharif,haryana,35.09398947,70.30803223,0,8476.34
chana,medium,rabi,karnataka,8.517407627,15.55306882,0,6207.03
tomato,medium,zaid,haryana,10.06662526,183.4627151,0,2302.77
onion,low,zaid,mp,54.64819379,174.5891672,0,1222.36
onion,low,kharif,rajasthan,98.07710322,180.6727625,0,1102.01
tur,low,kharif,karnataka,5.372378333,117.6527514,1,7632.45
tomato,medium,zaid,rajasthan,12.9317353,146.2047343,0,1674.87
onion,low,kharif,karnataka,86.34222245,168.9098797,0,1234.33
wheat,medium,zaid,up,56.50704221,96.21237677,1,2189.37
jowar,high,zaid,mp,57.67034818,160.7953959,0,2662.72
rice,low,rabi,punjab,87.78987241,83.50121681,0,2616.73
onion,low,rabi,punjab,93.96770215,159.7566472,1,2200.16
wheat,low,kharif,haryana,48.49835136,116.1514414,0,1644.49
tur,high,zaid,mp,74.02064786,47.75542915,0,5899.71
rice,medium,kharif,haryana,5.167225774,3.574786947,1,4604.08
wheat,low,zaid,punjab,80.00094289,51.79653032,0,1920.77
chana,high,kharif,haryana,98.92930607,148.6705646,0,4918.87
tomato,low,zaid,haryana,12.91353744,9.38907143,0,1976.63
jowar,high,kharif,haryana,6.72642498,193.820526,1,4923.57
jowar,low,rabi,up,40.22795987,151.6476951,0,2273.22
cotton,medium,rabi,haryana,54.16046787,118.587987,0,5058.42
tur,high,zaid,mp,48.191006,8.875332707,1,7457.9
chana,low,rabi,up,9.611689231,81.69064261,0,4241.02
soybean,medium,kharif,rajasthan,96.25007529,21.89377201,1,6244.14
rice,low,kharif,haryana,90.74485823,114.2637884,0,2738.94
wheat,medium,zaid,mp,85.20759118,173.4588402,0,1600.76
tur,low,kharif,mp,62.24252644,150.5433279,0,5833.39
jowar,low,zaid,karnataka,82.75585831,25.77397349,0,2393.51
rice,medium,kharif,haryana,51.23930564,1.277174343,0,3686.02
wheat,low,rabi,karnataka,38.29284084,1.814480931,0,1796.15
cotton,medium,zaid,punjab,43.79183761,168.0243005,0,4885.53
soybean,low,kharif,mp,18.20159406,154.1708217,1,4069.7
tomato,low,kharif,rajasthan,35.24242264,124.1831036,0,1424.47
sugarcane,high,zaid,mp,76.0680564,4.917383292,0,302.26
cotton,high,kharif,karnataka,45.14436793,54.72533326,1,9571.6
tur,high,zaid,karnataka,82.76615581,59.6748862,0,6525.47
sugarcane,medium,zaid,up,86.93737793,192.6473307,0,236.09
soybean,high,kharif,up,28.14730503,196.7955296,0,4746.08
rice,low,zaid,maharashtra,65.51501571,73.70526874,1,2423.01
chana,medium,rabi,maharashtra,10.02528455,30.73160763,0,5679.29
onion,high,rabi,mp,4.22009177,184.1695696,0,2026.49
tur,medium,kharif,karnataka,13.39339343,137.1130574,0,6280.18
tur,high,kharif,rajasthan,33.26662093,118.0527878,0,8003.69
wheat,low,kharif,rajasthan,39.85686208,95.98776694,0,1351.58
tur,low,kharif,maharashtra,4.922263709,96.10138945,0,5698.24
tur,medium,zaid,rajasthan,62.1974177,140.4929941,0,4122.39
wheat,medium,rabi,maharashtra,88.3708151,16.50170689,0,2207.27
onion,medium,kharif,karnataka,20.8850499,138.6387882,0,1282.57
wheat,high,rabi,up,89.72590897,118.9553275,0,2345.5
tur,medium,kharif,mp,80.37108022,67.89003851,0,6409.9
sugarcane,medium,kharif,rajasthan,45.77951017,128.715539,0,254.8
rice,medium,zaid,mp,16.79492333,174.3567133,0,2065.97
sugarcane,low,rabi,karnataka,43.93187806,8.732331541,0,245.5
cotton,medium,rabi,maharashtra,49.83440783,16.30529791,0,5182.25
tomato,high,zaid,maharashtra,84.20478822,34.83866732,1,3277.08
chana,low,kharif,mp,50.97964331,108.6601047,0,3386.89
jowar,low,kharif,mp,87.46890057,180.1403728,0,2147.53
cotton,medium,kharif,haryana,21.85555671,124.5933167,0,7125.7
cotton,medium,kharif,karnataka,63.62151279,74.56972744,0,6251.27
tomato,low,rabi,rajasthan,10.64194586,81.00415982,0,1847.07
sugarcane,medium,zaid,rajasthan,65.56020131,62.42961134,0,263.62
soybean,high,rabi,mp,13.95649241,193.964209,0,3489.56
cotton,medium,kharif,punjab,45.42897981,133.8780803,0,6846.55
chana,high,rabi,maharashtra,17.53714888,33.52384326,0,6779.12
soybean,low,rabi,maharashtra,70.83317382,89.2737293,1,4214.75
sugarcane,medium,kharif,punjab,13.17411004,46.22618249,0,342.55
cotton,medium,rabi,haryana,9.767002838,20.66179142,0,6350.86
sugarcane,low,kharif,up,1.489058113,190.3623571,0,219.97
chana,high,zaid,punjab,34.92269532,106.4489978,0,5124.2
sugarcane,medium,kharif,mp,67.6698109,193.9824092,0,243.19
tomato,low,zaid,rajasthan,26.27534595,132.3264701,1,1986.37
rice,medium,rabi,punjab,87.02159346,114.1219493,0,2943.47
sugarcane,low,rabi,up,94.14666028,165.3677767,0,229.8
rice,medium,kharif,karnataka,97.74024424,81.38159214,1,4021.89
tur,high,kharif,haryana,76.75389559,185.1349662,0,8866.31
tur,high,zaid,haryana,81.9655874,24.04181107,0,6547.46
wheat,medium,zaid,karnataka,69.85125346,77.71162025,0,1635.11
wheat,high,kharif,punjab,59.11910906,33.68887703,0,2681.74
tur,high,rabi,punjab,95.19637741,169.4334723,1,9803.44
tur,low,kharif,haryana,25.36089622,95.33909501,0,6801.43
rice,high,zaid,haryana,82.41694846,86.17241831,1,3329.42
tur,high,zaid,karnataka,20.51825853,95.83664589,0,5552.82
sugarcane,low,kharif,up,93.03098186,106.4520427,0,207.57
rice,medium,rabi,haryana,41.94136105,24.37721867,0,3011.86
jowar,high,rabi,karnataka,71.19557991,21.37538462,0,3663.08
sugarcane,medium,zaid,rajasthan,55.47242767,8.682506571,0,283.59
onion,medium,kharif,haryana,88.53643987,45.61595439,0,1809.41
jowar,low,rabi,punjab,90.10228922,70.68427586,0,3315.59
rice,high,zaid,punjab,81.1434676,153.331227,0,2624.4
soybean,high,rabi,up,87.05670284,94.57839313,0,3952.82
soybean,high,zaid,mp,21.41243029,127.5921587,0,4003.7
tur,medium,rabi,punjab,28.17948515,119.4093834,0,6466.96
onion,low,rabi,up,99.13434338,25.67885789,0,1801.2
jowar,high,rabi,rajasthan,27.22464928,129.0579675,0,3121.62
wheat,high,kharif,maharashtra,62.09842256,88.4819873,0,2162.19
soybean,medium,kharif,up,53.76282087,64.86675062,0,4604.83
onion,medium,kharif,maharashtra,99.55256858,89.27047024,0,1532.44
jowar,low,rabi,haryana,69.31048419,40.18673773,0,2903.16
tur,high,rabi,mp,98.14240106,94.9773087,0,5963.72
cotton,medium,rabi,mp,92.77309582,107.9914261,0,4798.34
tomato,medium,kharif,karnataka,86.60393301,121.6972825,0,1568.69
sugarcane,low,zaid,punjab,34.82577569,76.1819051,0,244.1
wheat,high,zaid,mp,28.69065031,188.4774038,1,2052.37
tomato,high,zaid,rajasthan,57.09096085,78.20855261,0,2206.51
tomato,medium,rabi,up,67.75607683,106.4962385,0,2056.41
onion,medium,rabi,karnataka,40.8950377,34.704903,0,1967.31
sugarcane,medium,kharif,maharashtra,57.9411717,95.87088803,0,280.52
wheat,medium,kharif,rajasthan,18.3090241,100.5132153,0,1534.16
soybean,medium,rabi,punjab,51.10464793,46.51027167,0,4790.81
sugarcane,medium,rabi,mp,85.29341512,0.066501224,0,318.87
onion,high,zaid,up,56.87966798,38.35649112,0,1847.54
rice,low,zaid,karnataka,98.3842136,47.83602084,0,1762.56
cotton,high,rabi,mp,63.68577298,45.77892097,0,5550.07
sugarcane,medium,zaid,punjab,13.9403273,177.320843,0,253.34
onion,high,kharif,rajasthan,18.51182737,77.41575207,1,1995.67
soybean,medium,kharif,karnataka,58.63267475,136.1949654,0,4254.98
soybean,medium,kharif,haryana,97.61150174,160.3074224,1,5927.37
cotton,low,zaid,karnataka,50.43404966,53.2038556,0,4022.84
rice,medium,zaid,maharashtra,61.79404981,171.9130463,0,2150.68
wheat,low,rabi,maharashtra,94.340283,161.7766923,0,1573.23
rice,medium,rabi,mp,64.0829462,131.8707844,1,2960.69
wheat,high,rabi,up,11.46365451,197.6550542,0,1899.9
chana,low,zaid,up,66.24451789,160.4261116,0,2969.01
sugarcane,low,kharif,karnataka,30.35702255,69.94064595,0,245.44
cotton,high,kharif,haryana,55.41198833,166.1068913,0,7345.31
wheat,high,rabi,maharashtra,38.81202433,41.13745244,0,2605.81
tur,low,rabi,punjab,48.34727416,179.1629195,0,4794.79
chana,medium,kharif,haryana,58.65984316,149.6146359,0,4494.72
jowar,high,rabi,punjab,23.23694557,74.43340477,0,4179.09
tur,medium,kharif,mp,24.82857847,24.30027526,0,7891.6
chana,low,zaid,punjab,81.77874696,172.2739993,0,4103.86
rice,low,rabi,rajasthan,46.59341023,168.3997106,0,1825.47
tomato,medium,zaid,maharashtra,93.80141858,8.634747159,0,2121.38
sugarcane,high,kharif,karnataka,49.35101888,30.13522154,0,329.64
soybean,low,rabi,up,30.45729668,113.0043986,0,3287.3
tur,low,zaid,punjab,56.24619019,162.3504434,0,5093.73
sugarcane,high,kharif,punjab,21.19952783,111.0169899,0,365.46
rice,low,rabi,maharashtra,55.8684249,1.045922709,0,2048.72
wheat,medium,kharif,maharashtra,95.84927453,73.58815026,0,1718.41
onion,medium,zaid,haryana,13.34669163,77.07517661,0,1866.71
tomato,high,kharif,haryana,66.64115845,0.375976705,0,2257.86
sugarcane,low,rabi,mp,40.83038534,174.8524941,0,228.96
soybean,medium,zaid,mp,56.50534935,120.6975333,0,3627.26
cotton,low,zaid,rajasthan,15.75097388,139.0831297,0,4027.25
soybean,high,zaid,haryana,15.59780014,65.63855072,0,4472.97
sugarcane,low,zaid,mp,73.83064831,199.6695023,1,249.04
wheat,medium,zaid,up,68.90521583,198.2252864,0,1556.33
jowar,low,rabi,mp,36.86130872,66.90225775,0,2381.01
tomato,low,kharif,maharashtra,93.03207536,156.516388,0,1485.96
jowar,high,rabi,haryana,46.71154855,96.18120015,0,4375.11
sugarcane,medium,kharif,mp,5.934360751,180.7826661,1,328.01
sugarcane,medium,rabi,rajasthan,23.29714652,26.26988163,0,316.24
tur,low,kharif,mp,5.414895929,7.257524523,0,6050.52
chana,medium,kharif,karnataka,45.5242444,155.3421114,0,3816.99
chana,high,kharif,punjab,56.6372919,69.1840895,0,5939.35
tomato,high,zaid,punjab,73.51242445,109.6641167,0,2927.83
soybean,medium,kharif,mp,78.98358854,124.8850893,0,4474.53
soybean,high,zaid,punjab,19.92787945,67.65262107,0,5440.25
tur,low,rabi,maharashtra,15.97343604,45.06338599,0,5611.25
onion,low,rabi,haryana,23.51354009,80.79557527,0,1967.11
wheat,low,kharif,rajasthan,23.38855811,169.3837456,0,1202.78
tomato,low,kharif,punjab,46.76726054,82.35310832,0,1752.37
chana,high,kharif,mp,36.24136401,195.6123636,0,4061.46
onion,low,kharif,karnataka,76.08407677,150.8215361,0,1094.9
tomato,medium,zaid,haryana,45.67269507,196.9979312,0,1881.06
tur,medium,zaid,mp,54.331478,99.56250161,0,5153.01
tur,high,kharif,up,77.78557324,192.8953308,0,7146.32
chana,low,rabi,haryana,31.92256109,128.5349315,0,5215.4
rice,medium,kharif,mp,17.43739703,122.6946277,0,2927.35
chana,medium,rabi,mp,20.99955117,36.84496785,1,7216.58
soybean,medium,kharif,rajasthan,9.262944414,176.4832737,0,3685.94
wheat,high,rabi,karnataka,13.12095594,145.0371096,0,2472.03
jowar,high,zaid,karnataka,13.85281845,137.3721995,0,2476.81
sugarcane,medium,kharif,rajasthan,38.5236855,194.691478,0,215.92
tomato,medium,kharif,up,76.1986586,197.6131133,1,2039.09
tur,low,kharif,rajasthan,82.99667599,67.04160947,0,5947.18
chana,medium,kharif,maharashtra,24.74753716,28.39439795,0,4401.92
jowar,high,rabi,karnataka,62.47192818,70.47498932,0,3636.36
cotton,low,rabi,punjab,33.18529753,137.2654393,0,4399.76
tur,low,zaid,karnataka,8.630723183,68.07601853,1,5557.33
soybean,high,rabi,haryana,41.42232793,151.8497466,1,5565.15
tur,high,rabi,karnataka,26.7683989,181.4390061,0,6093.05
rice,medium,kharif,rajasthan,86.59179734,109.329644,0,2890.13
sugarcane,low,rabi,rajasthan,91.88957867,56.00746591,1,299.39
cotton,high,kharif,up,80.68577091,3.60131112,1,10596.57
onion,low,zaid,karnataka,45.53437859,43.68863658,0,1257.3
wheat,medium,rabi,maharashtra,47.40802858,60.25305215,0,2082.78
tur,high,kharif,maharashtra,33.71039238,68.08116867,1,11169.91
wheat,medium,zaid,up,99.5483141,171.1392188,0,1401.23
sugarcane,low,zaid,mp,12.37836671,18.77145696,1,306.91
wheat,medium,rabi,haryana,69.75059516,16.44141274,1,3284.53
tur,high,kharif,mp,44.89462142,121.4179157,0,7724.15
cotton,high,zaid,mp,11.31825548,76.90226553,0,5729.49
rice,medium,zaid,karnataka,98.40019097,53.79178917,0,2404.01
rice,low,rabi,mp,60.80309603,181.4760329,0,1765.87
tur,low,rabi,maharashtra,62.62944988,93.9487526,0,4949.54
wheat,low,rabi,rajasthan,85.55946377,9.899370699,0,1911.56
wheat,medium,zaid,haryana,44.41531037,43.70196687,0,1839.83
tur,low,rabi,maharashtra,62.0895851,22.7676787,0,5373.94
tur,high,rabi,up,5.440503234,90.1194038,1,8034.98
chana,high,rabi,haryana,26.55915216,134.9215706,0,6772.71
jowar,low,rabi,up,1.208280474,143.5144249,0,2239.12
sugarcane,medium,kharif,punjab,66.8639181,160.0709758,0,269.52
chana,low,rabi,mp,8.937821394,70.95425837,1,5933.25
tur,medium,kharif,up,59.77241833,2.026236806,0,8280.24
tur,high,zaid,mp,64.14983217,148.1962501,0,5793.13
chana,medium,rabi,maharashtra,42.78139175,59.00814153,0,5564.95
jowar,low,rabi,rajasthan,56.30559725,68.63347063,0,2593.77
soybean,medium,zaid,punjab,40.98588855,15.52292895,0,4916.93
rice,high,zaid,mp,58.34736903,151.8702052,0,2402.14
jowar,high,rabi,rajasthan,70.8530004,137.6810037,0,2942.94
soybean,high,rabi,maharashtra,35.24186861,30.89194944,0,4748.49
cotton,high,zaid,karnataka,79.38030567,119.1977684,0,5851.1
chana,medium,kharif,maharashtra,11.42065933,33.47194663,1,5437.46
chana,high,zaid,up,14.44311566,19.86044055,0,5609.68
jowar,high,kharif,rajasthan,75.86514778,91.70460178,0,3487.25
soybean,medium,rabi,up,88.95196356,120.5885753,0,3913.33
sugarcane,low,rabi,rajasthan,54.59935313,30.82900864,0,248.75
tomato,low,zaid,karnataka,44.60369368,60.46664987,0,1714.78
wheat,low,kharif,karnataka,27.75452152,193.2834772,0,1312.94
chana,low,zaid,haryana,62.99719782,97.77956636,0,4416.74
rice,medium,rabi,punjab,46.68310568,146.1636057,0,2796.05
soybean,medium,zaid,karnataka,96.43885587,181.8909222,0,3302.11
tomato,low,kharif,up,55.38292546,11.54821037,0,1583.47
jowar,medium,rabi,up,46.8048849,196.1974756,0,2920.33
onion,medium,kharif,up,21.11908602,152.3596383,0,1378.72
tur,high,kharif,maharashtra,86.69213742,196.1478687,0,7702.57
sugarcane,high,rabi,up,20.84697704,21.85284206,1,460.79
wheat,low,zaid,karnataka,88.46301154,89.66381107,0,1484.49
onion,medium,kharif,haryana,4.024396252,174.4096677,0,1571.83
soybean,medium,rabi,up,21.85979142,191.4896038,0,3606.89
chana,medium,rabi,karnataka,1.229437243,8.832387236,0,5866.74
soybean,low,rabi,mp,66.19551105,153.2231866,0,2925.61
chana,high,rabi,punjab,8.687284132,81.50860621,0,6460.39
cotton,high,kharif,mp,58.12702578,139.5512552,0,6069.89
tomato,medium,rabi,karnataka,84.3653693,48.44624356,0,2214.23
jowar,low,zaid,karnataka,24.00604798,56.20089978,0,2400.88
onion,high,kharif,haryana,58.74249175,168.4461493,0,1674.06
soybean,high,rabi,up,65.13392715,24.58413569,1,5920.05
jowar,medium,kharif,mp,64.07199287,105.2556921,0,2732.92
soybean,high,kharif,rajasthan,52.49681934,28.57519227,0,4766.59
onion,high,kharif,punjab,14.24900794,125.9115394,0,2009.5
tur,high,rabi,punjab,78.51864709,143.0077438,0,7901.05
chana,medium,rabi,rajasthan,25.43556305,148.1808112,0,4200.71
wheat,high,zaid,maharashtra,84.42847831,62.66958352,0,2196.96
cotton,low,kharif,mp,67.83886605,23.20453627,0,5606.36
tur,high,kharif,karnataka,17.52835579,142.6092101,0,8344.92
wheat,high,rabi,rajasthan,27.62783513,95.08132157,0,2432.53
wheat,low,kharif,karnataka,50.53971343,86.5458272,0,1444.21
cotton,low,zaid,maharashtra,19.416277,110.4138729,0,4306.78
tur,low,kharif,up,73.31913973,129.5426342,0,5958.28
rice,low,zaid,mp,74.12114836,63.12546875,0,1781.32
chana,medium,kharif,maharashtra,89.13128526,57.48191929,0,3931.78
tomato,medium,kharif,haryana,27.491675,167.0960451,0,1762.33
chana,medium,kharif,maharashtra,13.3124715,82.72853498,0,4117.09
wheat,medium,rabi,up,87.88705495,8.331363677,0,2362.71
onion,high,rabi,mp,97.6253685,25.11004295,0,2409.53
tur,medium,rabi,rajasthan,44.11525492,66.41987308,0,5813.7
onion,low,kharif,mp,1.134008946,59.96010551,0,1390.74
cotton,low,zaid,maharashtra,61.00850993,58.22884956,0,4063.86
chana,high,rabi,maharashtra,93.80046538,120.6583611,0,5370.87
jowar,medium,rabi,karnataka,78.73376477,198.2655803,0,2996.97
tomato,low,rabi,up,72.83709283,123.9469143,1,2566.82
cotton,high,rabi,haryana,53.19925291,181.2841928,0,6052.22
wheat,low,zaid,mp,34.39667396,144.996234,0,1202.75
rice,medium,rabi,punjab,1.776317486,126.184358,0,2477.49
rice,medium,zaid,punjab,24.94743612,100.1207142,0,2254.23
tomato,medium,kharif,rajasthan,46.50682217,109.3154284,0,1441.7
tomato,low,rabi,up,67.76054892,27.39981261,1,2679.18
tomato,low,zaid,mp,99.4871101,142.3445611,1,2130.87
soybean,low,kharif,up,18.43345166,42.79140774,0,3498.63
cotton,low,zaid,haryana,94.42645769,192.0271209,0,4597.33
